,2,3,4,5,6,7,8,9,10
purity,0.360683761,0.517119917,0.609272209,0.715876716,0.672157472,0.744832945,0.762444962,0.782905983,0.751566952
ssw,24.41478737,12.80612689,10.6332731,9.028988378,8.60797449,7.303655355,7.778454891,6.821575784,7.253775427
davies_bouldin_score,0.90227629,0.811882357,1.081825058,1.118465034,1.117513494,1.105051668,1.12692587,1.167043012,1.223325554
adjusted_rand_score,0.121199709,0.293731351,0.383931218,0.504166932,0.453221544,0.522638718,0.536894813,0.521580567,0.507154354
